City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bekhtery,UA,46.251,32.2927,27.84,75,12,7.02,few clouds
1,Tiksi,RU,71.6872,128.8694,-7.28,97,100,8.19,overcast clouds
2,Guapiacu,BR,-20.795,-49.2203,79.09,69,0,3.44,clear sky
3,Albany,US,42.6001,-73.9662,20.68,70,89,2.68,overcast clouds
4,Bocaiuva,BR,-17.1078,-43.815,69.51,91,15,4.81,few clouds
5,Saskylakh,RU,71.9167,114.0833,3.29,97,100,3.13,overcast clouds
6,Igarka,RU,67.4667,86.5833,9.59,95,100,15.61,snow
7,Zatoka,UA,46.0725,30.4654,25.34,82,82,17.18,broken clouds
8,Pemangkat,ID,1.1667,108.9667,82.72,75,24,7.11,few clouds
9,Mardan,PK,34.2019,72.0525,48.74,81,98,1.16,overcast clouds
10,Vanavara,RU,60.34,102.2797,-5.49,100,100,1.28,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,85.91,28,94,4.0,overcast clouds
12,East London,ZA,-33.0153,27.9116,71.85,66,0,18.59,clear sky
13,Mataura,NZ,-46.1927,168.8643,58.48,40,9,7.99,clear sky
14,Puerto Ayora,EC,-0.7393,-90.3518,72.86,90,86,4.79,overcast clouds
15,Avarua,CK,-21.2078,-159.775,78.85,94,75,21.85,moderate rain
16,Hithadhoo,MV,-0.6,73.0833,82.62,69,66,16.49,broken clouds
17,Khatanga,RU,71.9667,102.5,10.42,94,100,11.16,light snow
18,Punta Arenas,CL,-53.15,-70.9167,48.11,87,75,5.75,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,78.71,72,100,11.59,overcast clouds
20,Trinidad,BO,-14.8333,-64.9,72.28,98,85,3.74,overcast clouds
21,Busselton,AU,-33.65,115.3333,98.1,38,9,8.43,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,78.28,88,40,4.61,scattered clouds
23,Tual,ID,-5.6667,132.75,82.78,78,90,14.12,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,-11.2,73,100,7.05,overcast clouds
25,Dubti,ET,11.7361,41.0853,70.9,63,96,5.12,overcast clouds
26,Bodden Town,KY,19.2833,-81.25,73.92,93,9,7.16,clear sky
27,La Palma,US,33.8464,-118.0467,68.61,27,20,0.0,few clouds
28,Belmonte,BR,-15.8631,-38.8828,81.1,84,20,7.76,few clouds
29,Abu Samrah,SY,35.3029,37.1841,43.72,66,83,15.7,broken clouds
30,Coari,BR,-4.085,-63.1414,73.02,99,100,1.01,overcast clouds
31,Aswan,EG,24.0934,32.907,47.61,48,3,9.26,clear sky
32,Joshimath,IN,30.5667,79.5667,42.67,74,97,2.91,overcast clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,69.51,64,35,1.01,scattered clouds
34,Yellowknife,CA,62.456,-114.3525,-10.59,83,100,10.36,light snow
35,Riverton,US,40.5219,-111.9391,31.19,79,0,1.01,clear sky
36,Maubeuge,FR,50.2788,3.9727,38.98,35,100,1.05,overcast clouds
37,Port Elizabeth,ZA,-33.918,25.5701,67.1,82,0,17.27,clear sky
38,Razole,IN,16.4833,81.8333,79.09,59,1,6.76,clear sky
39,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,77,100,21.85,light snow
40,Tuatapere,NZ,-46.1333,167.6833,58.82,59,10,8.95,clear sky
41,Namibe,AO,-15.1961,12.1522,73.67,88,100,5.37,overcast clouds
42,Aschersleben,DE,51.75,11.4667,40.82,85,100,11.3,overcast clouds
43,Butaritari,KI,3.0707,172.7902,82.44,74,43,13.76,scattered clouds
44,Gidole,ET,5.65,37.3667,57.22,52,100,2.71,overcast clouds
45,Severo-Kurilsk,RU,50.6789,156.125,28.02,79,92,15.99,light snow
46,Katsuura,JP,35.1333,140.3,47.19,53,100,3.91,overcast clouds
47,College,US,64.8569,-147.8028,8.26,82,75,0.0,broken clouds
48,Tura,IN,25.5198,90.2201,68.56,44,74,2.08,broken clouds
49,Tezu,IN,27.9167,96.1667,66.02,43,85,4.16,overcast clouds
50,Saint-Pierre,RE,-21.3393,55.4781,85.68,74,40,1.14,scattered clouds
51,Nikolskiy,RU,60.9151,34.0645,-11.81,100,96,2.3,overcast clouds
52,Shetpe,KZ,44.1667,52.1167,27.64,76,47,16.33,scattered clouds
53,Laguna,US,38.421,-121.4238,55.42,86,0,4.61,haze
54,Ushuaia,AR,-54.8,-68.3,44.42,98,100,2.35,light rain
55,Hovd,MN,48.0056,91.6419,5.95,66,0,3.15,clear sky
56,Port Hedland,AU,-20.3167,118.5667,93.25,62,100,16.11,overcast clouds
57,Tasiilaq,GL,65.6145,-37.6368,10.56,40,0,14.47,clear sky
58,Gucheng,CN,35.9115,111.3192,35.46,94,100,2.48,light rain
59,Saint George,US,37.1041,-113.5841,48.67,44,0,1.99,clear sky
60,Narsaq,GL,60.9167,-46.05,12.42,65,99,12.37,overcast clouds
61,Atuona,PF,-9.8,-139.0333,78.73,76,19,18.95,few clouds
62,Mahebourg,MU,-20.4081,57.7,84.25,83,75,10.36,broken clouds
63,Volchansk,RU,59.9378,60.081,1.71,97,97,3.09,overcast clouds
64,Hatta,IN,24.1167,79.6,67.06,49,23,6.42,few clouds
65,Thompson,CA,55.7435,-97.8558,-20.04,76,0,8.05,clear sky
66,Hobart,AU,-42.8794,147.3294,86.27,42,0,1.01,clear sky
67,Demirci,TR,39.0461,28.6589,7.83,97,62,6.85,broken clouds
68,Monticello,US,45.3055,-93.7941,9.68,84,100,6.91,light snow
69,Ugoofaaru,MV,5.6667,73.0,80.91,67,95,10.49,overcast clouds
70,Pitimbu,BR,-7.4706,-34.8086,77.59,74,20,7.99,few clouds
71,Altay,CN,47.8667,88.1167,10.87,70,33,4.21,scattered clouds
72,Vila Velha,BR,-20.3297,-40.2925,72.95,95,20,1.01,few clouds
73,Kapaa,US,22.0752,-159.319,76.98,81,100,11.5,overcast clouds
74,Beloha,MG,-25.1667,45.05,77.09,83,98,18.97,overcast clouds
75,Rocha,UY,-34.4833,-54.3333,73.42,83,42,6.46,moderate rain
76,Cherskiy,RU,68.75,161.3,-47.54,99,96,6.38,overcast clouds
77,Bluff,NZ,-46.6,168.3333,58.8,61,36,8.9,scattered clouds
78,Simbahan,PH,6.3032,120.5836,81.12,78,59,6.49,broken clouds
79,Anadyr,RU,64.75,177.4833,-1.7,84,20,4.47,light snow
80,Jamestown,US,42.097,-79.2353,24.39,68,100,11.5,overcast clouds
81,Kodinsk,RU,58.6881,99.1844,1.11,97,100,0.96,overcast clouds
82,Kenai,US,60.5544,-151.2583,34.14,99,100,8.05,overcast clouds
83,Yakeshi,CN,49.2833,120.7333,-3.32,95,100,2.89,overcast clouds
84,Leningradskiy,RU,69.3833,178.4167,-16.02,92,100,17.69,overcast clouds
85,Bethel,US,41.3712,-73.414,26.96,80,40,0.0,scattered clouds
86,Olafsvik,IS,64.8945,-23.7142,32.47,65,100,34.92,snow
87,Kununurra,AU,-15.7667,128.7333,85.98,79,75,8.05,light rain
88,Dunedin,NZ,-45.8742,170.5036,60.8,60,3,10.0,clear sky
89,Riyadh,SA,24.6877,46.7219,46.54,29,17,6.02,few clouds
90,Butembo,CD,0.15,29.2833,56.64,79,22,2.57,few clouds
91,Timizart,DZ,36.8,4.2667,40.28,77,2,6.04,clear sky
92,Najran,SA,17.4924,44.1277,43.45,65,62,1.48,broken clouds
93,Tateyama,JP,34.9833,139.8667,48.47,56,100,6.85,overcast clouds
94,Rawson,AR,-43.3002,-65.1023,66.4,35,7,18.92,clear sky
95,Gradacac,BA,44.8808,18.4269,26.58,83,5,7.54,clear sky
96,Dikson,RU,73.5069,80.5464,-14.53,100,96,5.97,overcast clouds
97,Henderson,US,36.0397,-114.9819,56.64,26,0,14.97,clear sky
98,Upernavik,GL,72.7868,-56.1549,-12.3,65,70,4.76,broken clouds
99,Peniche,PT,39.3558,-9.3811,47.93,76,34,12.48,scattered clouds
100,Ponta Do Sol,PT,32.6667,-17.1,63.72,76,24,3.62,few clouds
101,Hasaki,JP,35.7333,140.8333,48.49,71,100,7.31,overcast clouds
102,Vaini,TO,-21.2,-175.2,84.36,79,20,12.66,few clouds
103,Saint Anthony,US,45.0205,-93.218,9.66,82,100,1.01,overcast clouds
104,La Ronge,CA,55.1001,-105.2842,-9.15,77,100,2.3,overcast clouds
105,Sao Filipe,CV,14.8961,-24.4956,73.42,79,100,5.41,overcast clouds
106,Tynda,RU,55.1667,124.7167,-0.54,82,12,3.53,few clouds
107,Cidreira,BR,-30.1811,-50.2056,76.26,90,2,14.03,clear sky
108,Christchurch,NZ,-43.5333,172.6333,61.92,88,75,1.01,broken clouds
109,Saldanha,ZA,-33.0117,17.9442,73.45,73,35,4.59,scattered clouds
110,Aksu,CN,41.1231,80.2644,28.09,48,100,2.39,overcast clouds
111,Nikolskoye,RU,59.7035,30.7861,19.29,100,97,3.18,overcast clouds
112,Tutoia,BR,-2.7619,-42.2744,76.57,89,99,8.05,overcast clouds
113,Bowen,AU,-20.0167,148.2333,85.08,57,72,18.3,broken clouds
114,Verkhoyansk,RU,67.5447,133.385,-15.72,100,98,0.6,overcast clouds
115,Touros,BR,-5.1989,-35.4608,77.9,81,8,7.92,clear sky
116,Maceio,BR,-9.6658,-35.7353,76.44,88,20,2.3,few clouds
117,Codrington,AU,-38.2667,141.9667,80.65,41,79,17.87,broken clouds
118,Cockburn Town,TC,21.4612,-71.1419,77.95,74,1,13.47,clear sky
119,Gillette,US,44.2911,-105.5022,38.95,65,100,11.5,overcast clouds
120,Kaoma,ZM,-14.7833,24.8,59.54,96,23,5.26,few clouds
121,Ribeira Grande,PT,38.5167,-28.7,59.02,59,50,8.32,scattered clouds
122,Ancud,CL,-41.8697,-73.8203,58.23,96,100,22.08,moderate rain
123,Carnarvon,AU,-24.8667,113.6333,111.27,5,4,14.97,clear sky
124,Torbay,CA,47.6666,-52.7314,25.57,86,100,14.97,overcast clouds
125,Hofn,IS,64.2539,-15.2082,46.09,87,100,49.01,overcast clouds
126,Terrace,CA,54.5163,-128.6035,38.43,86,100,4.61,overcast clouds
127,Souillac,MU,-20.5167,57.5167,84.36,83,75,10.36,broken clouds
128,Hilo,US,19.7297,-155.09,74.93,78,40,6.91,scattered clouds
129,Ardakan,IR,32.31,54.0175,28.78,22,0,2.62,clear sky
130,Kavieng,PG,-2.5744,150.7967,84.7,68,100,4.85,overcast clouds
131,Hami,CN,42.8,93.45,28.29,45,0,3.44,clear sky
132,Kerema,PG,-7.9631,145.7785,84.49,74,56,10.45,broken clouds
133,Nizhniy Kuranakh,RU,58.8353,125.4869,7.45,91,100,8.21,light snow
134,Esperance,AU,-33.8667,121.9,75.76,56,22,12.62,few clouds
135,Bambous Virieux,MU,-20.3428,57.7575,84.22,83,75,10.36,broken clouds
136,San Patricio,US,28.017,-97.5169,52.84,46,100,7.31,overcast clouds
137,Georgetown,MY,5.4112,100.3354,84.15,76,20,3.44,few clouds
138,Kodiak,US,57.79,-152.4072,36.91,93,75,0.0,broken clouds
139,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.16,86,72,9.22,broken clouds
140,Nishihara,JP,26.1842,127.7558,72.68,89,100,21.85,overcast clouds
141,Victoria,HK,22.2855,114.1577,73.38,82,61,4.0,broken clouds
142,Acandi,CO,8.5063,-77.2778,76.39,92,100,4.94,overcast clouds
143,Korla,CN,41.7597,86.1469,29.05,47,8,3.58,clear sky
144,Passira,BR,-7.995,-35.5806,74.01,83,7,2.28,clear sky
145,Ust-Maya,RU,60.4167,134.5333,-6.63,93,100,1.05,overcast clouds
146,Maragogi,BR,-9.0122,-35.2225,78.19,79,16,4.59,few clouds
147,Luderitz,NA,-26.6481,15.1594,82.22,48,89,12.71,overcast clouds
148,Lamu,KE,-2.2717,40.902,77.05,86,58,14.32,broken clouds
149,Batsfjord,NO,70.6345,29.7185,31.77,83,100,23.2,overcast clouds
150,Chokurdakh,RU,70.6333,147.9167,-15.65,98,100,5.64,overcast clouds
151,Karaton,ID,-6.3424,106.1045,86.16,56,92,4.52,overcast clouds
152,Nevsehir,TR,38.9167,34.6667,25.81,93,100,2.3,snow
153,Abha,SA,18.2164,42.5053,51.62,71,0,11.5,clear sky
154,Quatre Cocos,MU,-20.2078,57.7625,84.09,72,48,11.18,scattered clouds
155,Praxedis Guerrero,MX,31.3667,-106.0167,43.29,53,0,15.55,clear sky
156,Ponoka,CA,52.6768,-113.5815,43.88,81,100,9.28,overcast clouds
157,Norman Wells,CA,65.282,-126.8329,-0.36,71,75,12.66,light snow
158,Waddan,LY,29.1614,16.139,46.26,72,1,6.26,clear sky
159,Puerto Leguizamo,CO,-0.1934,-74.7819,72.36,94,93,2.24,overcast clouds
160,Port Lincoln,AU,-34.7333,135.8667,74.61,77,100,4.36,overcast clouds
161,Longyearbyen,SJ,78.2186,15.6401,28.24,69,40,2.3,scattered clouds
162,Savonlinna,FI,61.8699,28.88,21.25,93,100,6.91,overcast clouds
163,Sorong,ID,-0.8833,131.25,83.66,70,78,3.06,broken clouds
164,San Cristobal,VE,7.7669,-72.225,69.98,84,99,0.54,overcast clouds
165,Kahului,US,20.8947,-156.47,75.22,77,20,14.97,few clouds
166,Mar Del Plata,AR,-38.0023,-57.5575,73.09,97,100,0.0,overcast clouds
167,Buraydah,SA,26.326,43.975,41.45,41,0,8.68,clear sky
168,Tombouctou,ML,20.0,-3.0,59.74,22,100,11.81,overcast clouds
169,Cape Town,ZA,-33.9258,18.4232,77.41,66,0,1.01,clear sky
170,Pevek,RU,69.7008,170.3133,-26.43,93,100,10.31,overcast clouds
171,Pochutla,MX,15.7432,-96.4661,76.05,74,0,2.95,clear sky
172,Samut Songkhram,TH,13.4,99.9583,91.98,48,1,1.5,clear sky
173,Okhotsk,RU,59.3833,143.3,-4.52,80,34,13.8,scattered clouds
174,Kargil,IN,34.5667,76.1,8.33,90,100,1.12,light snow
175,Udachnyy,RU,66.4167,112.4,-12.01,98,31,4.9,scattered clouds
176,Paamiut,GL,61.994,-49.6678,16.63,84,100,17.67,light snow
177,Port Alfred,ZA,-33.5906,26.891,71.38,71,0,26.49,clear sky
178,Grindavik,IS,63.8424,-22.4338,34.27,64,100,28.77,snow
179,Grafton,US,42.207,-71.6856,20.55,73,0,1.01,clear sky
180,Fort Nelson,CA,58.8053,-122.7002,8.19,85,75,4.61,broken clouds
181,Vestmannaeyjar,IS,63.4427,-20.2734,37.24,97,100,15.23,overcast clouds
182,Lasa,IT,46.6166,10.7002,36.86,90,36,7.29,scattered clouds
183,Balabac,PH,7.9868,117.0645,82.78,71,99,12.28,overcast clouds
184,Hamilton,US,39.1834,-84.5333,27.99,65,0,3.0,clear sky
185,Colares,PT,38.7992,-9.4469,49.28,56,53,7.0,broken clouds
186,Aklavik,CA,68.2191,-135.0107,-1.37,94,100,13.96,overcast clouds
187,Ilulissat,GL,69.2167,-51.1,1.42,55,13,26.46,light shower snow
188,Zhicheng,CN,30.2956,111.5047,39.99,79,100,5.08,overcast clouds
189,Zhucheng,CN,35.9947,119.3975,37.26,62,97,13.76,overcast clouds
190,Vao,NC,-22.6667,167.4833,76.57,81,29,14.41,scattered clouds
191,Camacha,PT,33.0833,-16.3333,57.96,82,20,3.44,few clouds
192,Middelburg,ZA,-25.7751,29.4648,52.99,73,41,14.43,scattered clouds
193,Caceres,ES,39.522,-6.3748,36.81,85,2,5.64,clear sky
194,Ahipara,NZ,-35.1667,173.1667,69.98,68,99,6.55,overcast clouds
195,Port Hardy,CA,50.6996,-127.4199,39.76,93,75,5.75,broken clouds
196,Bubaque,GW,11.2833,-15.8333,78.21,69,21,9.28,few clouds
197,Kruisfontein,ZA,-34.0033,24.7314,64.89,81,0,5.79,clear sky
198,Along,IN,28.1667,94.7667,56.66,74,100,0.87,overcast clouds
199,Shelburne,CA,44.0787,-80.2041,19.9,91,88,14.12,overcast clouds
200,Richards Bay,ZA,-28.783,32.0377,71.92,69,99,4.25,overcast clouds
201,Loiza,PR,18.4313,-65.8802,75.87,87,40,5.75,scattered clouds
202,Broome,US,42.2506,-75.833,21.65,52,100,1.99,overcast clouds
203,Mitu,CO,1.1983,-70.1733,71.85,98,100,0.96,overcast clouds
204,Labuhan,ID,-6.8844,112.2051,79.25,82,97,7.61,overcast clouds
205,Castro,BR,-24.7911,-50.0119,65.46,84,0,3.24,clear sky
206,Jacksonville Beach,US,30.2947,-81.3931,42.04,89,100,1.99,overcast clouds
207,Machinga,MW,-15.1685,35.3,65.14,89,100,3.69,overcast clouds
208,Constitucion,CL,-35.3333,-72.4167,55.47,88,0,11.92,clear sky
209,Hermanus,ZA,-34.4187,19.2345,78.8,62,38,4.12,scattered clouds
210,Nome,US,64.5011,-165.4064,-12.41,100,100,5.19,overcast clouds
211,Ixtapa,MX,20.7,-105.2,74.43,83,40,0.0,scattered clouds
212,Saint-Philippe,RE,-21.3585,55.7679,85.59,79,56,13.87,broken clouds
213,Ouidah,BJ,6.3631,2.0851,73.26,82,2,3.02,clear sky
214,Faro,PT,37.0194,-7.9322,53.38,71,0,16.11,clear sky
215,Noumea,NC,-22.2763,166.4572,81.0,99,99,5.68,overcast clouds
216,Sorland,NO,67.667,12.6934,42.84,75,100,32.35,overcast clouds
217,Kamina,CD,-8.7386,24.9906,61.92,92,98,1.63,overcast clouds
218,Kadoma,JP,34.7333,135.5833,42.39,69,75,4.61,light rain
219,Ozernovskiy,RU,51.5,156.5167,23.2,72,56,7.61,broken clouds
220,Port Augusta,AU,-32.5,137.7667,84.34,73,100,12.03,overcast clouds
221,Shediac,CA,46.2198,-64.5411,14.05,85,75,5.75,broken clouds
222,Sakai,JP,34.5833,135.4667,42.39,75,75,1.14,broken clouds
223,Benghazi,LY,32.1167,20.0667,55.35,58,92,17.18,overcast clouds
224,Chuy,UY,-33.6971,-53.4616,74.25,95,73,5.55,light rain
225,Kiunga,PG,-6.1219,141.2906,91.45,49,80,5.26,broken clouds
226,Naryan-Mar,RU,67.6713,53.087,3.7,92,99,11.59,overcast clouds
227,Chudovo,RU,59.1167,31.6833,-7.51,100,66,0.56,broken clouds
228,Asau,RO,46.4333,26.4,24.4,72,98,4.34,overcast clouds
229,Zhuhai,CN,22.2769,113.5678,71.78,83,40,2.3,scattered clouds
230,Sitka,US,57.0531,-135.33,44.49,81,100,10.36,moderate rain
231,Port Blair,IN,11.6667,92.75,82.44,74,20,8.05,few clouds
